nthread,time (us)
1,1122.94
1,1123.07
2,1123.07
3,1122.56
4,1123.07
5,1122.94
6,1122.94
7,1122.82
8,1123.07
9,1123.07
10,1122.94
11,1122.94
12,1122.05
13,1122.94
14,1122.56
15,1122.05
16,1122.43
17,1122.56
18,1122.05
19,1122.82
20,1122.05
21,1122.43
22,1122.94
23,1122.05
24,1122.05
25,1123.07
26,1122.82
27,1122.43
28,1123.07
29,1123.07
30,1123.07
31,1123.07
32,1123.07
33,1123.07
34,1123.07
35,1122.82
36,1123.07
37,1122.94
38,1123.07
39,1123.07
40,1123.07
41,1123.07
42,1123.07
43,1123.07
44,1123.07
45,1123.07
46,1123.07
47,1123.07
48,1123.07
49,1123.07
50,1123.07
51,1123.84
52,1123.46
53,1123.84
54,1123.46
55,1123.07
56,1123.07
57,1123.07
58,1123.46
59,1123.97
60,1123.97
61,1123.07
62,1123.07
63,1123.97
64,1124.1
65,1265.92
