nthread,dim (x/y),niter,t (us)
1,0,100,15.872
1,0,6300,790.016
1,0,7974,998.912
1,0,7974,998.912
2,0,7974,998.912
3,0,7974,998.912
4,0,7974,998.912
5,0,7974,998.912
6,0,7974,998.912
7,0,7974,998.912
8,0,7974,998.912
9,0,7974,1026.05
10,0,7974,1026.05
11,0,7974,1026.05
12,0,7974,1026.05
13,0,7974,1026.05
14,0,7974,1026.05
15,0,7974,1026.05
16,0,7974,1026.05
17,0,7974,1053.18
18,0,7974,1052.93
19,0,7974,1052.93
20,0,7974,1052.93
21,0,7974,1052.93
22,0,7974,1053.95
23,0,7974,1053.18
24,0,7974,1053.95
25,0,7974,1080.96
26,0,7974,1081.09
27,0,7974,1081.09
28,0,7974,1080.83
29,0,7974,1080.83
30,0,7974,1080.83
31,0,7974,1081.09
32,0,7974,1080.96
33,0,7974,1107.97
34,0,7974,1107.97
35,0,7974,1107.97
36,0,7974,1107.97
37,0,7974,1107.97
38,0,7974,1107.97
39,0,7974,1107.97
40,0,7974,1107.97
41,0,7974,1135.1
42,0,7974,1135.1
43,0,7974,1135.1
44,0,7974,1135.1
45,0,7974,1135.1
46,0,7974,1135.1
47,0,7974,1135.1
48,0,7974,1135.1
49,0,7974,1163.01
50,0,7974,1163.01
51,0,7974,1163.01
52,0,7974,1163.01
53,0,7974,1163.01
54,0,7974,1162.5
55,0,7974,1163.01
56,0,7974,1163.01
57,0,7974,1189.89
58,0,7974,1189.89
59,0,7974,1189.89
60,0,7974,1189.89
61,0,7974,1189.89
62,0,7974,1189.89
63,0,7974,1189.89
64,0,7974,1189.89
65,0,7974,1693.95
1,1,100,16.128
1,1,6200,798.976
1,1,7759,998.912
1,1,7759,998.912
2,1,7759,998.912
3,1,7759,998.912
4,1,7759,998.912
5,1,7759,998.912
6,1,7759,998.912
7,1,7759,998.912
8,1,7759,998.912
9,1,7759,1025.02
10,1,7759,1025.02
11,1,7759,1025.02
12,1,7759,1025.02
13,1,7759,1025.02
14,1,7759,1025.02
15,1,7759,1025.02
16,1,7759,1025.02
17,1,7759,1051.9
18,1,7759,1051.9
19,1,7759,1051.9
20,1,7759,1051.9
21,1,7759,1051.9
22,1,7759,1051.9
23,1,7759,1051.9
24,1,7759,1051.9
25,1,7759,1078.02
26,1,7759,1078.02
27,1,7759,1078.02
28,1,7759,1078.02
29,1,7759,1078.02
30,1,7759,1078.02
31,1,7759,1078.02
32,1,7759,1078.02
33,1,7759,1569.02
