range (byte),t (us),bandwidth (gbps)
16,14899.6,72.0652
32,14884.5,72.1383
64,28961.9,37.0743
128,29880.1,35.9351
256,16474,65.178
512,15259.5,70.3654
1024,18114.6,59.2751
2048,11147,96.3256
4096,11239,95.5368
8192,11151,96.2913
16384,11192.1,95.9378
32768,11210.4,95.7811
65536,11233.9,95.5803
131072,12360.1,86.8719
262144,18612,57.6909
524288,26379.5,40.7036
1.04858e+06,30822.9,34.8358
2.09715e+06,33865.6,31.706
4.1943e+06,27676.7,38.7959
8.38861e+06,35214.5,30.4915
1.67772e+07,35725.4,30.0554
3.35544e+07,35447.9,30.2907
6.71089e+07,35374,30.354
